age,capital_gain,capital_loss,education,final_weight,hours_worked_per_week,marital_status,native_country,occupation,race,relationship,is_male,workclass,over_threshold
53,0.0,0.0,3,188644,40,Married-civ-spouse,Mexico,Other-service,White,Husband,True,Local-gov,0
31,0.0,0.0,9,166248,40,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,True,Private,0
21,0.0,0.0,9,251603,40,Never-married,United-States,Adm-clerical,White,Not-in-family,False,Private,0
45,0.0,0.0,9,325390,40,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,0
34,0.0,0.0,7,123084,40,Married-civ-spouse,United-States,Machine-op-inspct,White,Own-child,False,Private,0
47,0.0,0.0,6,652784,40,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,True,Private,0
43,0.0,0.0,15,293809,20,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Self-emp-not-inc,0
41,4650.0,0.0,10,197069,40,Married-spouse-absent,United-States,Adm-clerical,Black,Not-in-family,True,Federal-gov,0
27,0.0,0.0,13,170148,28,Never-married,United-States,Tech-support,White,Own-child,False,Private,0
33,0.0,0.0,10,88913,40,Never-married,United-States,Adm-clerical,Asian-Pac-Islander,Own-child,False,Federal-gov,0
66,20051.0,0.0,16,174486,35,Married-civ-spouse,Jamaica,Prof-specialty,Black,Husband,True,Local-gov,1
46,0.0,0.0,10,166269,50,Divorced,United-States,Sales,White,Unmarried,True,Private,0
58,0.0,0.0,5,214502,50,Married-civ-spouse,United-States,Handlers-cleaners,White,Husband,True,Private,1
41,0.0,0.0,9,38397,40,Divorced,United-States,Other-service,White,Not-in-family,False,Private,0
53,0.0,0.0,14,254285,40,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Private,1
28,0.0,0.0,9,137898,35,Divorced,United-States,Adm-clerical,White,Not-in-family,False,Private,0
46,0.0,0.0,14,144351,40,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Private,1
22,0.0,0.0,9,24008,40,Never-married,United-States,Adm-clerical,White,Not-in-family,True,Private,0
28,0.0,0.0,13,52603,50,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,1
39,0.0,0.0,9,115618,50,Married-civ-spouse,United-States,Transport-moving,White,Husband,True,Private,0
24,0.0,0.0,9,60668,40,Never-married,United-States,Craft-repair,White,Own-child,True,Self-emp-inc,0
40,0.0,0.0,9,191544,35,Never-married,United-States,Other-service,White,Not-in-family,False,Private,0
43,0.0,0.0,13,240698,40,Married-civ-spouse,United-States,Adm-clerical,White,Husband,True,Private,1
43,0.0,0.0,14,174295,55,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Private,0
60,0.0,0.0,10,235336,70,Widowed,United-States,Exec-managerial,White,Not-in-family,False,Private,0
35,0.0,0.0,13,99156,50,Never-married,United-States,Sales,White,Not-in-family,True,Private,0
30,0.0,0.0,10,487330,30,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,True,Private,0
29,0.0,0.0,9,251170,40,Divorced,United-States,Adm-clerical,White,Own-child,False,Private,0
29,0.0,0.0,10,224215,40,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,1
39,0.0,0.0,12,100011,38,Never-married,United-States,Tech-support,White,Not-in-family,False,Local-gov,0
30,0.0,0.0,13,252752,40,Married-civ-spouse,United-States,Prof-specialty,White,Wife,False,Private,0
23,0.0,0.0,9,295254,40,Never-married,United-States,Adm-clerical,White,Not-in-family,False,Self-emp-inc,0
24,0.0,0.0,10,395297,30,Never-married,Japan,Other-service,White,Unmarried,False,Private,0
35,0.0,0.0,9,350169,38,Divorced,Japan,Machine-op-inspct,White,Unmarried,False,Private,0
41,0.0,0.0,10,381510,50,Never-married,United-States,Other-service,White,Own-child,True,Private,0
30,0.0,0.0,14,170449,40,Married-civ-spouse,United-States,Prof-specialty,Asian-Pac-Islander,Husband,True,Local-gov,1
22,0.0,0.0,9,244773,15,Never-married,United-States,Sales,Black,Own-child,False,Private,0
41,0.0,0.0,13,240124,50,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,1
21,0.0,0.0,9,186849,40,Never-married,United-States,Handlers-cleaners,White,Own-child,True,Private,0
33,0.0,0.0,4,280923,40,Married-civ-spouse,Mexico,Handlers-cleaners,White,Husband,True,Private,0
44,0.0,1887.0,14,32627,60,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Local-gov,1
39,0.0,0.0,9,76417,40,Married-civ-spouse,United-States,Farming-fishing,White,Husband,True,Private,0
19,0.0,0.0,9,426589,15,Never-married,United-States,?,White,Own-child,False,?,0
49,0.0,0.0,14,116927,60,Divorced,United-States,Prof-specialty,White,Not-in-family,True,Private,0
22,0.0,0.0,5,50163,40,Never-married,United-States,Transport-moving,White,Own-child,True,Private,0
39,0.0,0.0,9,96564,40,Divorced,United-States,Handlers-cleaners,White,Not-in-family,False,Private,0
57,0.0,0.0,4,199067,90,Married-civ-spouse,Greece,Exec-managerial,White,Husband,True,Self-emp-inc,1
18,0.0,0.0,9,177648,25,Never-married,United-States,Sales,White,Own-child,False,Private,0
67,0.0,0.0,9,180539,10,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,0
35,0.0,0.0,9,31269,40,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,0
47,0.0,0.0,13,149700,36,Married-civ-spouse,United-States,?,White,Husband,True,?,1
19,0.0,0.0,9,104112,30,Never-married,Haiti,Sales,Black,Unmarried,True,Private,0
26,0.0,0.0,10,164737,40,Never-married,United-States,Sales,White,Not-in-family,False,Private,0
21,0.0,0.0,9,440969,40,Never-married,United-States,Adm-clerical,White,Own-child,False,Private,0
36,0.0,0.0,9,238415,40,Divorced,United-States,Craft-repair,White,Unmarried,True,Private,0
38,0.0,0.0,15,166497,60,Never-married,United-States,Prof-specialty,White,Not-in-family,True,Self-emp-not-inc,1
46,0.0,0.0,15,199378,90,Never-married,United-States,Prof-specialty,White,Not-in-family,True,Private,0
39,0.0,0.0,7,403489,40,Divorced,United-States,Transport-moving,White,Own-child,True,Private,0
48,0.0,0.0,10,97470,40,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,1
20,0.0,0.0,10,219835,30,Never-married,?,Sales,White,Own-child,True,Private,0
32,0.0,0.0,9,174789,50,Never-married,United-States,Craft-repair,White,Other-relative,True,Private,0
51,0.0,0.0,14,33863,45,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Local-gov,0
39,0.0,0.0,14,76417,40,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Private,1
26,0.0,0.0,9,333108,40,Divorced,United-States,Sales,White,Not-in-family,True,Private,0
39,0.0,0.0,12,257597,42,Married-civ-spouse,United-States,Tech-support,White,Husband,True,Private,0
31,0.0,0.0,3,252210,40,Never-married,Mexico,Other-service,White,Own-child,True,Private,0
40,0.0,0.0,9,377322,40,Married-civ-spouse,United-States,Craft-repair,Black,Husband,True,Private,1
20,0.0,0.0,10,239805,16,Never-married,United-States,?,White,Not-in-family,True,?,0
46,0.0,0.0,14,110110,65,Married-civ-spouse,United-States,Prof-specialty,White,Wife,False,Local-gov,1
20,2907.0,0.0,10,121596,35,Never-married,United-States,Other-service,White,Own-child,False,Private,0
37,0.0,0.0,9,264700,35,Married-civ-spouse,United-States,Tech-support,Black,Wife,False,Private,0
28,0.0,0.0,13,30070,50,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,0
34,0.0,0.0,9,62124,40,Separated,United-States,Other-service,Black,Not-in-family,True,Private,0
35,0.0,0.0,10,259727,55,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,0
35,0.0,0.0,9,101709,60,Never-married,United-States,Transport-moving,Asian-Pac-Islander,Own-child,True,Private,0
65,0.0,0.0,9,244749,20,Married-civ-spouse,Cuba,?,White,Husband,True,?,0
51,0.0,0.0,9,280093,40,Separated,United-States,Adm-clerical,White,Other-relative,False,Private,0
21,0.0,0.0,10,232591,8,Never-married,United-States,Sales,White,Own-child,True,Private,0
55,0.0,0.0,7,169611,40,Widowed,United-States,Adm-clerical,White,Unmarried,False,Private,0
27,0.0,0.0,12,130807,40,Married-civ-spouse,United-States,Tech-support,White,Husband,True,Private,0
48,0.0,0.0,13,344381,42,Married-civ-spouse,United-States,Prof-specialty,Asian-Pac-Islander,Husband,True,Private,1
37,4650.0,0.0,11,117760,40,Never-married,United-States,Protective-serv,White,Not-in-family,True,Local-gov,0
46,0.0,0.0,12,83082,33,Never-married,United-States,Prof-specialty,White,Not-in-family,False,Private,0
46,99999.0,0.0,13,198660,72,Married-civ-spouse,United-States,Sales,White,Husband,True,Self-emp-inc,1
55,0.0,0.0,5,115198,48,Married-civ-spouse,United-States,Transport-moving,White,Wife,False,Private,0
19,0.0,0.0,9,252752,35,Never-married,United-States,?,Black,Own-child,True,?,0
43,0.0,0.0,9,177054,60,Married-civ-spouse,United-States,Transport-moving,White,Husband,True,Private,0
31,0.0,0.0,10,441949,40,Married-civ-spouse,Mexico,Tech-support,White,Husband,True,Private,1
42,0.0,0.0,13,142756,50,Divorced,United-States,Prof-specialty,White,Not-in-family,False,Local-gov,0
36,0.0,0.0,6,373952,40,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,True,Private,0
25,0.0,0.0,10,232938,40,Never-married,United-States,Farming-fishing,White,Unmarried,True,Private,0
37,7688.0,0.0,9,112158,99,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,1
49,0.0,0.0,13,268090,26,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,1
45,0.0,0.0,13,246431,30,Never-married,United-States,Prof-specialty,White,Not-in-family,True,Private,0
18,2176.0,0.0,9,376647,25,Never-married,United-States,Handlers-cleaners,White,Own-child,True,Private,0
35,0.0,0.0,10,331395,50,Never-married,United-States,Exec-managerial,White,Not-in-family,True,Private,0
36,14344.0,0.0,12,337039,40,Never-married,England,Tech-support,Black,Not-in-family,True,Private,1
38,99999.0,0.0,15,478829,50,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Self-emp-inc,1
52,0.0,0.0,6,152811,40,Widowed,United-States,Other-service,White,Unmarried,False,Private,0
33,0.0,0.0,14,156192,45,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Private,1
40,0.0,0.0,10,235786,44,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,1
55,4064.0,0.0,9,226875,40,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,0
42,0.0,0.0,9,33155,45,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,True,Private,0
17,0.0,0.0,6,127366,20,Never-married,United-States,Other-service,White,Own-child,False,Private,0
25,0.0,0.0,9,198163,40,Never-married,United-States,Exec-managerial,White,Own-child,False,Private,0
42,3325.0,0.0,9,111468,40,Divorced,United-States,Adm-clerical,White,Unmarried,False,Private,0
38,0.0,0.0,13,312528,37,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,State-gov,0
72,0.0,0.0,7,82635,40,Married-civ-spouse,United-States,?,White,Husband,True,?,0
49,0.0,0.0,6,59612,70,Divorced,United-States,Farming-fishing,White,Unmarried,True,Self-emp-not-inc,0
20,114.0,0.0,5,59948,20,Never-married,United-States,Adm-clerical,Black,Unmarried,False,Private,0
56,0.0,0.0,9,331569,36,Married-civ-spouse,United-States,Sales,Black,Wife,False,Private,0
29,0.0,0.0,10,66473,50,Never-married,United-States,Farming-fishing,White,Unmarried,True,Private,0
45,0.0,2258.0,9,187901,44,Divorced,United-States,Farming-fishing,White,Not-in-family,True,Private,1
25,0.0,0.0,13,257574,20,Never-married,United-States,Adm-clerical,Black,Not-in-family,False,Self-emp-not-inc,0
25,0.0,0.0,9,176616,40,Never-married,United-States,Other-service,White,Own-child,True,Local-gov,0
48,0.0,0.0,16,366089,45,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Private,1
32,0.0,0.0,13,174215,60,Never-married,United-States,Exec-managerial,White,Not-in-family,False,Federal-gov,0
50,0.0,1902.0,13,204577,60,Married-civ-spouse,United-States,?,Black,Husband,True,?,1
38,0.0,0.0,15,187983,40,Married-civ-spouse,United-States,Sales,White,Wife,False,Private,0
28,0.0,0.0,10,264961,45,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Self-emp-not-inc,0
48,4386.0,0.0,9,449354,45,Married-civ-spouse,United-States,Adm-clerical,White,Husband,True,Private,1
19,0.0,0.0,9,43627,10,Never-married,United-States,Other-service,White,Own-child,True,Without-pay,0
65,99999.0,0.0,13,190160,40,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,1
35,0.0,0.0,10,338611,40,Divorced,United-States,Adm-clerical,White,Unmarried,False,Private,0
58,0.0,0.0,2,227800,50,Separated,United-States,Farming-fishing,Black,Not-in-family,True,Private,0
61,0.0,0.0,9,149653,50,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,0
20,0.0,0.0,9,200819,40,Never-married,United-States,Transport-moving,White,Own-child,True,State-gov,0
24,0.0,0.0,7,478457,30,Never-married,United-States,Prof-specialty,Black,Not-in-family,False,Private,0
33,0.0,0.0,9,154227,50,Married-civ-spouse,United-States,Sales,White,Husband,True,Self-emp-inc,1
24,0.0,0.0,13,29591,40,Never-married,United-States,Prof-specialty,Other,Not-in-family,False,Federal-gov,0
30,0.0,0.0,9,158688,40,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,True,Private,0
41,0.0,0.0,11,29927,40,Divorced,United-States,Prof-specialty,White,Unmarried,False,Private,0
43,0.0,0.0,13,200508,40,Married-civ-spouse,United-States,?,White,Husband,True,?,0
48,0.0,0.0,9,266337,40,Married-civ-spouse,United-States,?,White,Husband,True,?,0
28,0.0,0.0,9,239753,40,Never-married,United-States,Other-service,White,Not-in-family,False,Private,0
21,0.0,0.0,10,183945,35,Never-married,United-States,?,White,Own-child,False,?,0
49,0.0,0.0,9,200471,40,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Self-emp-not-inc,0
44,0.0,0.0,13,484879,40,Separated,United-States,Prof-specialty,White,Unmarried,False,State-gov,0
36,0.0,0.0,13,143437,40,Divorced,United-States,Prof-specialty,Other,Not-in-family,False,State-gov,0
42,0.0,0.0,14,114580,70,Divorced,United-States,Exec-managerial,White,Unmarried,False,Self-emp-not-inc,0
38,15024.0,0.0,13,333651,70,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Private,1
34,0.0,0.0,9,345705,45,Never-married,United-States,Craft-repair,White,Not-in-family,True,Self-emp-not-inc,1
45,0.0,0.0,13,201865,40,Married-spouse-absent,United-States,Exec-managerial,White,Unmarried,True,Private,0
23,0.0,0.0,9,93977,40,Never-married,United-States,Machine-op-inspct,White,Own-child,True,Private,0
31,0.0,0.0,9,332379,40,Never-married,United-States,Machine-op-inspct,White,Not-in-family,True,Private,0
39,0.0,0.0,13,113481,45,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,1
32,0.0,0.0,10,286675,40,Never-married,United-States,Exec-managerial,White,Other-relative,True,Private,0
47,0.0,0.0,10,330416,60,Never-married,United-States,Farming-fishing,White,Not-in-family,True,Self-emp-not-inc,0
18,0.0,0.0,7,39411,24,Never-married,United-States,Handlers-cleaners,White,Own-child,True,Private,0
22,0.0,0.0,10,109456,32,Never-married,United-States,Handlers-cleaners,White,Own-child,True,Private,0
41,0.0,0.0,9,132125,40,Married-civ-spouse,United-States,Protective-serv,White,Husband,True,Local-gov,0
33,0.0,0.0,9,143485,40,Married-civ-spouse,United-States,Handlers-cleaners,Black,Husband,True,Private,0
40,0.0,0.0,9,114580,40,Divorced,Vietnam,Craft-repair,White,Other-relative,False,Private,0
44,0.0,0.0,11,185602,40,Divorced,United-States,Exec-managerial,White,Unmarried,False,Private,0
54,0.0,0.0,10,386773,60,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Self-emp-not-inc,0
46,0.0,0.0,10,325372,40,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,0
21,0.0,0.0,12,176262,18,Never-married,United-States,Other-service,White,Own-child,False,Private,0
22,0.0,0.0,10,320451,24,Never-married,India,Protective-serv,Asian-Pac-Islander,Own-child,True,Private,0
28,0.0,0.0,13,180271,65,Married-civ-spouse,United-States,Handlers-cleaners,White,Husband,True,Local-gov,1
27,0.0,0.0,8,189775,44,Never-married,United-States,Other-service,Black,Own-child,False,Local-gov,0
35,0.0,0.0,12,49020,35,Never-married,United-States,Farming-fishing,White,Own-child,True,Self-emp-inc,0
50,0.0,0.0,9,99316,50,Divorced,United-States,Transport-moving,White,Not-in-family,True,Private,0
36,15024.0,0.0,9,61778,40,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Local-gov,1
36,0.0,0.0,12,280440,45,Never-married,United-States,Tech-support,White,Unmarried,False,Private,0
47,0.0,0.0,13,333052,5,Divorced,United-States,Exec-managerial,White,Not-in-family,False,Self-emp-not-inc,0
52,0.0,0.0,14,63004,40,Married-civ-spouse,Philippines,Exec-managerial,Asian-Pac-Islander,Husband,True,Self-emp-not-inc,0
59,0.0,0.0,11,141326,50,Divorced,United-States,Prof-specialty,White,Not-in-family,True,Self-emp-inc,1
38,7298.0,0.0,10,257250,60,Married-civ-spouse,United-States,Transport-moving,White,Husband,True,Private,1
54,0.0,1977.0,16,182314,50,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,1
78,0.0,0.0,14,180239,40,Widowed,South,Craft-repair,Asian-Pac-Islander,Unmarried,True,Private,0
25,0.0,0.0,13,183678,50,Never-married,United-States,Prof-specialty,White,Not-in-family,False,State-gov,0
65,0.0,0.0,9,91262,48,Married-civ-spouse,United-States,?,Asian-Pac-Islander,Husband,True,?,1
64,0.0,0.0,12,267546,40,Separated,United-States,Prof-specialty,White,Not-in-family,False,Federal-gov,1
30,0.0,0.0,9,188398,30,Married-spouse-absent,United-States,Adm-clerical,White,Not-in-family,False,Private,0
38,0.0,0.0,9,102178,50,Married-civ-spouse,United-States,Transport-moving,White,Husband,True,Private,0
35,0.0,0.0,13,226916,40,Widowed,United-States,Adm-clerical,White,Not-in-family,True,Federal-gov,1
52,0.0,0.0,9,168539,40,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,True,Federal-gov,1
51,0.0,0.0,9,141388,55,Married-civ-spouse,United-States,Farming-fishing,White,Husband,True,Self-emp-not-inc,0
29,0.0,0.0,11,404998,90,Married-civ-spouse,United-States,Farming-fishing,White,Husband,True,Self-emp-not-inc,0
23,0.0,0.0,10,443701,40,Never-married,United-States,Adm-clerical,Black,Own-child,False,Private,0
38,0.0,0.0,10,189614,40,Married-civ-spouse,United-States,Adm-clerical,White,Wife,False,Local-gov,0
28,0.0,0.0,15,34452,40,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Local-gov,0
34,0.0,0.0,9,202210,40,Never-married,United-States,Other-service,Black,Unmarried,False,Private,0
57,0.0,0.0,9,217692,38,Widowed,United-States,Craft-repair,White,Not-in-family,False,Self-emp-not-inc,0
37,0.0,0.0,6,143058,50,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,0
44,0.0,0.0,9,134120,40,Married-civ-spouse,United-States,Adm-clerical,White,Wife,False,Private,1
54,0.0,0.0,14,338089,40,Separated,United-States,Exec-managerial,White,Not-in-family,True,Private,0
21,0.0,0.0,10,325923,35,Never-married,United-States,Tech-support,White,Own-child,True,Private,0
42,0.0,0.0,9,298885,40,Divorced,United-States,Exec-managerial,White,Unmarried,True,Local-gov,0
33,0.0,0.0,4,226267,43,Never-married,Mexico,Sales,White,Not-in-family,True,Private,0
34,0.0,0.0,9,215857,40,Never-married,Mexico,Machine-op-inspct,Amer-Indian-Eskimo,Not-in-family,True,Private,0
19,0.0,0.0,9,414871,40,Never-married,United-States,Craft-repair,White,Own-child,True,Private,0
38,0.0,0.0,11,359001,42,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Private,0
50,0.0,0.0,9,204402,84,Married-civ-spouse,United-States,Farming-fishing,White,Husband,True,Self-emp-not-inc,1
59,0.0,0.0,4,32855,70,Married-civ-spouse,United-States,Farming-fishing,White,Husband,True,Self-emp-not-inc,0
21,0.0,0.0,10,221418,40,Never-married,United-States,?,White,Own-child,False,?,0
63,0.0,0.0,9,271075,29,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,0
61,0.0,0.0,10,183735,45,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,1
45,0.0,0.0,13,202496,37,Married-civ-spouse,United-States,Handlers-cleaners,White,Husband,True,Private,0
22,0.0,0.0,9,413110,15,Never-married,United-States,Other-service,Black,Other-relative,False,Private,0
27,2829.0,0.0,10,215955,40,Married-civ-spouse,United-States,Adm-clerical,White,Husband,True,Private,0
58,0.0,0.0,10,30111,40,Widowed,United-States,Prof-specialty,Amer-Indian-Eskimo,Unmarried,False,Federal-gov,0
68,0.0,1668.0,9,144761,20,Widowed,United-States,Protective-serv,White,Not-in-family,True,Local-gov,0
54,0.0,0.0,6,175912,40,Married-civ-spouse,United-States,Transport-moving,White,Husband,True,Private,0
23,0.0,0.0,7,207546,40,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,True,Private,0
48,0.0,0.0,6,207848,40,Married-civ-spouse,United-States,Adm-clerical,White,Wife,False,Private,0
54,0.0,0.0,10,138852,45,Married-civ-spouse,United-States,Sales,White,Husband,True,Self-emp-inc,1
27,0.0,1504.0,13,38606,45,Never-married,United-States,Sales,White,Not-in-family,True,Private,0
43,0.0,0.0,10,94113,45,Divorced,United-States,Exec-managerial,White,Not-in-family,True,Private,0
17,0.0,0.0,7,193199,12,Never-married,Poland,Sales,White,Unmarried,False,Private,0
22,0.0,0.0,9,191878,35,Never-married,United-States,Other-service,Black,Not-in-family,False,Private,0
34,0.0,0.0,14,349169,40,Married-civ-spouse,Mexico,Craft-repair,White,Husband,True,Private,0
50,0.0,0.0,14,237868,50,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,1
59,0.0,0.0,9,144962,40,Widowed,United-States,Machine-op-inspct,White,Not-in-family,False,Private,0
19,0.0,0.0,10,28790,40,Never-married,United-States,Other-service,White,Not-in-family,False,Private,0
53,0.0,0.0,9,117932,40,Divorced,United-States,Machine-op-inspct,White,Not-in-family,False,Private,0
23,0.0,0.0,13,91189,20,Married-civ-spouse,United-States,Other-service,White,Husband,True,Private,0
59,0.0,0.0,13,110457,50,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Self-emp-inc,1
57,0.0,0.0,9,218649,40,Married-civ-spouse,United-States,Handlers-cleaners,White,Husband,True,Private,0
23,0.0,0.0,9,177265,45,Never-married,United-States,Other-service,White,Own-child,False,Local-gov,0
61,0.0,0.0,9,171840,16,Widowed,United-States,Prof-specialty,White,Unmarried,False,Self-emp-not-inc,0
27,0.0,0.0,13,214695,30,Married-civ-spouse,United-States,?,White,Husband,True,?,0
37,0.0,0.0,11,137229,45,Divorced,United-States,Sales,White,Not-in-family,True,Private,1
36,0.0,0.0,3,209993,40,Married-civ-spouse,El-Salvador,Priv-house-serv,White,Wife,False,Private,0
63,15024.0,0.0,10,165611,40,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,1
43,0.0,0.0,13,300099,34,Divorced,United-States,Adm-clerical,White,Not-in-family,False,Local-gov,0
57,99999.0,0.0,10,249072,60,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Self-emp-inc,1
56,0.0,1902.0,9,145574,60,Married-civ-spouse,United-States,Other-service,White,Husband,True,Self-emp-not-inc,1
37,0.0,0.0,9,172538,40,Never-married,United-States,Machine-op-inspct,White,Own-child,True,Private,0
18,0.0,0.0,10,418176,40,Never-married,United-States,Exec-managerial,Black,Not-in-family,True,Private,0
32,0.0,0.0,9,176410,38,Never-married,United-States,Adm-clerical,White,Own-child,False,Private,0
24,0.0,0.0,13,196280,30,Never-married,United-States,Sales,White,Not-in-family,False,Private,0
28,0.0,0.0,9,200733,40,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,0
58,0.0,0.0,14,170480,60,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,1
38,0.0,0.0,9,54953,30,Divorced,United-States,?,White,Not-in-family,True,?,0
32,0.0,0.0,10,97281,40,Never-married,United-States,Exec-managerial,White,Own-child,True,Private,0
44,0.0,0.0,13,323790,40,Married-civ-spouse,United-States,Protective-serv,White,Husband,True,Local-gov,1
18,0.0,0.0,10,89478,20,Never-married,United-States,Sales,White,Own-child,False,Private,0
29,0.0,0.0,9,113464,40,Never-married,Dominican-Republic,Transport-moving,Other,Other-relative,True,Private,0
66,0.0,0.0,9,76212,50,Married-civ-spouse,United-States,Transport-moving,White,Husband,True,Self-emp-inc,1
41,4386.0,0.0,11,433989,60,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,1
19,0.0,0.0,10,84610,30,Never-married,United-States,Other-service,White,Own-child,False,Private,0
17,0.0,0.0,7,48703,30,Never-married,United-States,?,White,Own-child,False,?,0
34,0.0,0.0,9,167063,40,Never-married,United-States,Protective-serv,White,Own-child,True,Local-gov,0
