age,capital_gain,capital_loss,education,final_weight,hours_worked_per_week,marital_status,native_country,occupation,race,relationship,is_male,workclass,over_threshold,capital_gain_log1p,capital_loss_log1p,final_weight_log1p,native_country_frequency
23,0.0,0.0,10,154210,14,Never-married,__RARE__,Adm-clerical,Asian-Pac-Islander,Other-relative,True,Private,0,0.0,0.0,11.946077073494447,0.0
58,0.0,1902.0,10,100313,40,Married-civ-spouse,United-States,Protective-serv,White,Husband,True,Private,1,0.0,7.551186867296149,11.5160605454657,0.8937728937728938
62,7688.0,0.0,13,208711,50,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,1,8.94754601503218,0.0,12.248710590214408,0.8937728937728938
43,0.0,0.0,9,325775,15,Married-civ-spouse,United-States,Adm-clerical,White,Wife,False,Self-emp-not-inc,0,0.0,0.0,12.693965307611649,0.8937728937728938
45,0.0,0.0,11,187581,40,Married-civ-spouse,United-States,Protective-serv,White,Husband,True,State-gov,0,0.0,0.0,12.141971362123586,0.8937728937728938
57,0.0,0.0,4,199067,90,Married-civ-spouse,__RARE__,Exec-managerial,White,Husband,True,Self-emp-inc,1,0.0,0.0,12.201401753880276,0.0
53,0.0,0.0,9,287317,40,Divorced,United-States,Other-service,Black,Not-in-family,True,Private,0,0.0,0.0,12.568344895284655,0.8937728937728938
38,0.0,0.0,9,54953,30,Divorced,United-States,?,White,Not-in-family,True,?,0,0.0,0.0,10.914251750631042,0.8937728937728938
30,0.0,0.0,10,487330,30,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,True,Private,0,0.0,0.0,13.096698842650593,0.8937728937728938
30,0.0,0.0,9,188398,30,Married-spouse-absent,United-States,Adm-clerical,White,Not-in-family,False,Private,0,0.0,0.0,12.146317333254686,0.8937728937728938
44,0.0,0.0,12,27242,40,Married-civ-spouse,__RARE__,Craft-repair,White,Husband,True,Private,0,0.0,0.0,10.212551886357938,0.0
35,2885.0,0.0,9,174856,40,Married-civ-spouse,United-States,Transport-moving,White,Husband,True,Private,0,7.9676267393338165,0.0,12.071723776005298,0.8937728937728938
33,0.0,0.0,13,192256,50,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Self-emp-not-inc,0,0.0,0.0,12.166588297628305,0.8937728937728938
37,15024.0,0.0,11,262278,45,Married-civ-spouse,United-States,Exec-managerial,Black,Husband,True,Private,1,9.617470759403409,0.0,12.477164101651056,0.8937728937728938
35,0.0,0.0,12,82552,40,Married-civ-spouse,United-States,Tech-support,White,Husband,True,Private,0,0.0,0.0,11.321195790299079,0.8937728937728938
28,0.0,0.0,9,341709,40,Never-married,United-States,Craft-repair,White,Not-in-family,True,Federal-gov,0,0.0,0.0,12.741717703112677,0.8937728937728938
78,0.0,0.0,4,152148,20,Married-civ-spouse,United-States,Transport-moving,White,Husband,True,Self-emp-not-inc,0,0.0,0.0,11.932615582842132,0.8937728937728938
59,0.0,0.0,12,178660,40,Married-civ-spouse,United-States,Adm-clerical,White,Husband,True,Federal-gov,0,0.0,0.0,12.093245434463944,0.8937728937728938
42,14084.0,0.0,12,416506,36,Never-married,United-States,Tech-support,White,Not-in-family,True,Private,1,9.552865680310473,0.0,12.939658547170492,0.8937728937728938
29,0.0,0.0,13,114158,40,Never-married,United-States,Tech-support,White,Not-in-family,False,Private,0,0.0,0.0,11.645347492476754,0.8937728937728938
38,0.0,0.0,10,498411,40,Married-civ-spouse,United-States,?,White,Wife,False,?,0,0.0,0.0,13.119182323212081,0.8937728937728938
26,0.0,0.0,10,151971,35,Never-married,United-States,Handlers-cleaners,White,Unmarried,True,Private,0,0.0,0.0,11.931451572333255,0.8937728937728938
64,0.0,0.0,11,135527,40,Divorced,United-States,Tech-support,White,Not-in-family,False,Private,0,0.0,0.0,11.816933540020782,0.8937728937728938
47,0.0,625.0,9,144351,40,Divorced,United-States,Craft-repair,White,Unmarried,True,Private,0,0.0,6.439350371100098,11.880010040208122,0.8937728937728938
30,0.0,0.0,9,55176,30,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Self-emp-not-inc,0,0.0,0.0,10.918301478768845,0.8937728937728938
42,7688.0,0.0,14,384236,40,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Private,1,8.94754601503218,0.0,12.85901482868799,0.8937728937728938
33,0.0,0.0,14,33727,40,Married-civ-spouse,United-States,Prof-specialty,White,Wife,False,Local-gov,0,0.0,0.0,10.426083631901035,0.8937728937728938
46,0.0,0.0,12,140782,50,Divorced,United-States,Prof-specialty,White,Not-in-family,False,Private,0,0.0,0.0,11.85497497678022,0.8937728937728938
21,4416.0,0.0,10,379525,24,Never-married,United-States,Adm-clerical,White,Own-child,False,Private,0,8.393216011596527,0.0,12.846678384669982,0.8937728937728938
20,0.0,0.0,9,119665,40,Never-married,United-States,Craft-repair,White,Own-child,True,Private,0,0.0,0.0,11.692459807756148,0.8937728937728938
62,0.0,0.0,9,99470,45,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,1,0.0,0.0,11.507621423378323,0.8937728937728938
60,0.0,0.0,9,52900,42,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Self-emp-not-inc,1,0.0,0.0,10.876177521259402,0.8937728937728938
62,0.0,0.0,16,116626,40,Widowed,United-States,Exec-managerial,White,Not-in-family,False,Self-emp-not-inc,1,0.0,0.0,11.666736086984383,0.8937728937728938
21,0.0,0.0,9,221157,30,Never-married,United-States,Other-service,Black,Own-child,False,Private,0,0.0,0.0,12.306632657184355,0.8937728937728938
43,0.0,0.0,14,221550,30,Never-married,__RARE__,Other-service,White,Not-in-family,False,Private,0,0.0,0.0,12.308408090271252,0.0
38,7298.0,0.0,10,257250,60,Married-civ-spouse,United-States,Transport-moving,White,Husband,True,Private,1,8.895492631451633,0.0,12.457807540957933,0.8937728937728938
55,0.0,0.0,9,161334,25,Widowed,__RARE__,Other-service,White,Not-in-family,False,Self-emp-not-inc,0,0.0,0.0,11.991238227555812,0.0
53,0.0,0.0,9,181317,40,Married-civ-spouse,United-States,?,White,Husband,True,?,0,0.0,0.0,12.108007674771141,0.8937728937728938
45,5013.0,0.0,13,56904,45,Married-civ-spouse,United-States,Adm-clerical,White,Husband,True,Federal-gov,0,8.519989278718239,0.0,10.94913848971599,0.8937728937728938
47,0.0,0.0,10,337825,45,Married-civ-spouse,United-States,Sales,White,Husband,True,Self-emp-inc,1,0.0,0.0,12.730286249014389,0.8937728937728938
22,0.0,0.0,10,212213,40,Never-married,United-States,Adm-clerical,Black,Own-child,False,Local-gov,0,0.0,0.0,12.26535047848055,0.8937728937728938
26,0.0,0.0,9,179864,40,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,True,Private,0,0.0,0.0,12.099961848481643,0.8937728937728938
43,0.0,0.0,14,150528,40,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Private,1,0.0,0.0,11.921911035638436,0.8937728937728938
53,0.0,0.0,9,146325,40,Divorced,United-States,Transport-moving,White,Not-in-family,True,Private,0,0.0,0.0,11.893592288238239,0.8937728937728938
32,0.0,0.0,13,174215,60,Never-married,United-States,Exec-managerial,White,Not-in-family,False,Federal-gov,0,0.0,0.0,12.068051187632786,0.8937728937728938
45,0.0,0.0,3,123219,40,Never-married,United-States,Machine-op-inspct,White,Not-in-family,True,Private,0,0.0,0.0,11.721726654568561,0.8937728937728938
54,0.0,0.0,9,329733,40,Never-married,United-States,Exec-managerial,White,Unmarried,True,Private,1,0.0,0.0,12.706041547795072,0.8937728937728938
21,0.0,0.0,6,130534,50,Never-married,United-States,Craft-repair,White,Not-in-family,True,Private,0,0.0,0.0,11.779396669019617,0.8937728937728938
58,5178.0,0.0,6,250206,40,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,1,8.552367266423891,0.0,12.430043854241488,0.8937728937728938
47,0.0,0.0,5,178309,50,Never-married,United-States,Other-service,White,Unmarried,False,Private,0,0.0,0.0,12.091278887528093,0.8937728937728938
29,0.0,0.0,8,221428,35,Married-civ-spouse,United-States,Sales,__RARE__,Own-child,True,Private,0,0.0,0.0,12.307857275322114,0.8937728937728938
80,0.0,0.0,9,138737,20,Divorced,United-States,Adm-clerical,White,Other-relative,False,Private,0,0.0,0.0,11.840342541382023,0.8937728937728938
22,0.0,0.0,10,42004,30,Never-married,United-States,?,White,Own-child,True,?,0,0.0,0.0,10.645543937798948,0.8937728937728938
35,0.0,0.0,10,22055,60,Married-civ-spouse,United-States,Prof-specialty,Amer-Indian-Eskimo,Husband,True,Private,0,0.0,0.0,10.001339952703633,0.8937728937728938
59,0.0,0.0,9,181070,40,Married-civ-spouse,__RARE__,Sales,White,Husband,True,Self-emp-not-inc,1,0.0,0.0,12.106644498525455,0.0
41,4386.0,0.0,11,433989,60,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,1,8.386400901166214,0.0,12.980776771342429,0.8937728937728938
31,0.0,0.0,11,114639,50,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Self-emp-not-inc,0,0.0,0.0,11.649552062502053,0.8937728937728938
30,0.0,0.0,16,209808,40,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Self-emp-not-inc,1,0.0,0.0,12.253952872022335,0.8937728937728938
26,0.0,0.0,11,112754,65,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,1,0.0,0.0,11.632972602279679,0.8937728937728938
31,0.0,0.0,11,73585,45,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Private,0,0.0,0.0,11.206210069232041,0.8937728937728938
17,0.0,0.0,7,81010,20,Never-married,United-States,Sales,White,Own-child,False,Private,0,0.0,0.0,11.302340226903391,0.8937728937728938
27,0.0,0.0,8,189775,44,Never-married,United-States,Other-service,Black,Own-child,False,Local-gov,0,0.0,0.0,12.153599708269057,0.8937728937728938
17,0.0,0.0,6,237272,30,Never-married,United-States,?,White,Own-child,True,Never-worked,0,0.0,0.0,12.376966655925132,0.8937728937728938
23,0.0,0.0,9,177265,45,Never-married,United-States,Other-service,White,Own-child,False,Local-gov,0,0.0,0.0,12.08540670830354,0.8937728937728938
23,0.0,0.0,10,197286,8,Never-married,United-States,Sales,White,Own-child,False,Private,0,0.0,0.0,12.192414800331536,0.8937728937728938
40,0.0,0.0,10,59460,38,Divorced,United-States,Adm-clerical,White,Unmarried,False,State-gov,0,0.0,0.0,10.993075914439594,0.8937728937728938
35,0.0,0.0,14,337286,40,Never-married,United-States,Exec-managerial,Asian-Pac-Islander,Not-in-family,True,Private,0,0.0,0.0,12.728689478949162,0.8937728937728938
24,0.0,0.0,9,34506,40,Never-married,United-States,Machine-op-inspct,White,Unmarried,False,Private,0,0.0,0.0,10.44891748098905,0.8937728937728938
38,0.0,0.0,11,64875,50,Divorced,United-States,Farming-fishing,White,Not-in-family,True,Self-emp-inc,0,0.0,0.0,11.08023303460758,0.8937728937728938
53,0.0,0.0,9,258832,10,Never-married,__RARE__,Other-service,Asian-Pac-Islander,Other-relative,True,Private,0,0.0,0.0,12.463938345071933,0.0
63,0.0,0.0,7,187919,30,Married-civ-spouse,United-States,Other-service,White,Husband,True,Private,0,0.0,0.0,12.143771619332794,0.8937728937728938
38,7688.0,0.0,13,192337,40,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,1,8.94754601503218,0.0,12.167009519959317,0.8937728937728938
50,0.0,0.0,13,138193,50,Divorced,United-States,Prof-specialty,White,Other-relative,False,Private,1,0.0,0.0,11.836413774033147,0.8937728937728938
18,0.0,1602.0,9,51574,38,Never-married,United-States,?,Asian-Pac-Islander,Own-child,False,?,0,0.0,7.3796321526095525,10.850792337939453,0.8937728937728938
20,0.0,0.0,9,63210,15,Never-married,United-States,Handlers-cleaners,White,Own-child,True,Private,0,0.0,0.0,11.054233615622806,0.8937728937728938
59,0.0,2205.0,10,191665,40,Widowed,United-States,?,White,Not-in-family,False,?,0,0.0,7.698936199813447,12.16350955284446,0.8937728937728938
44,0.0,0.0,10,721161,40,Separated,United-States,Machine-op-inspct,Black,Not-in-family,True,Private,0,0.0,0.0,13.488619078961959,0.8937728937728938
19,0.0,0.0,9,171306,3,Never-married,United-States,Sales,White,Own-child,True,Private,0,0.0,0.0,12.05121254745862,0.8937728937728938
43,0.0,0.0,13,300099,34,Divorced,United-States,Adm-clerical,White,Not-in-family,False,Local-gov,0,0.0,0.0,12.611871031428459,0.8937728937728938
37,0.0,0.0,11,74194,45,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Local-gov,0,0.0,0.0,11.214452041440227,0.8937728937728938
19,0.0,0.0,5,232261,40,Never-married,United-States,Other-service,White,Own-child,True,Private,0,0.0,0.0,12.355621323802026,0.8937728937728938
25,0.0,0.0,13,203279,20,Never-married,__RARE__,Prof-specialty,Asian-Pac-Islander,Not-in-family,True,State-gov,0,0.0,0.0,12.222339617994045,0.0
58,0.0,0.0,10,56392,40,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,0,0.0,0.0,10.940100316308259,0.8937728937728938
45,7688.0,0.0,10,213140,45,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Self-emp-not-inc,1,8.94754601503218,0.0,12.26970919751584,0.8937728937728938
35,0.0,0.0,13,233533,42,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,0,0.0,0.0,12.361082955769314,0.8937728937728938
49,0.0,0.0,9,191320,24,Divorced,United-States,Other-service,White,Not-in-family,False,Private,0,0.0,0.0,12.161707924625649,0.8937728937728938
60,7688.0,0.0,11,117909,40,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Private,1,8.94754601503218,0.0,11.677676900570718,0.8937728937728938
32,0.0,0.0,6,241885,40,Divorced,United-States,Craft-repair,White,Not-in-family,True,Self-emp-not-inc,0,0.0,0.0,12.396221819768265,0.8937728937728938
25,0.0,0.0,9,109872,45,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,True,Private,0,0.0,0.0,11.607080432318966,0.8937728937728938
32,0.0,0.0,10,86808,38,Never-married,United-States,Other-service,White,Own-child,False,Private,0,0.0,0.0,11.371465581909298,0.8937728937728938
25,0.0,0.0,9,298225,50,Divorced,United-States,Craft-repair,White,Not-in-family,True,Private,0,0.0,0.0,12.605606867317464,0.8937728937728938
37,0.0,0.0,7,95855,40,Divorced,United-States,Handlers-cleaners,White,Not-in-family,False,Private,0,0.0,0.0,11.470602344323707,0.8937728937728938
44,0.0,0.0,10,210492,40,Divorced,United-States,Adm-clerical,Black,Unmarried,True,Federal-gov,0,0.0,0.0,12.257207677394872,0.8937728937728938
18,0.0,0.0,6,126142,30,Never-married,United-States,Craft-repair,White,Own-child,True,Private,0,0.0,0.0,11.745171463032973,0.8937728937728938
27,0.0,0.0,9,140863,60,Never-married,United-States,Transport-moving,White,Not-in-family,True,Private,0,0.0,0.0,11.855550164886134,0.8937728937728938
22,0.0,0.0,10,320451,24,Never-married,__RARE__,Protective-serv,Asian-Pac-Islander,Own-child,True,Private,0,0.0,0.0,12.677487778136177,0.0
39,0.0,0.0,13,113481,45,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,1,0.0,0.0,11.639399513018452,0.8937728937728938
36,0.0,0.0,13,416745,40,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Private,0,0.0,0.0,12.940232202486595,0.8937728937728938
51,0.0,0.0,9,144084,40,Never-married,United-States,Machine-op-inspct,White,Own-child,False,Private,0,0.0,0.0,11.878158682190515,0.8937728937728938
36,0.0,0.0,13,255454,40,Never-married,United-States,Protective-serv,Black,Not-in-family,True,Local-gov,0,0.0,0.0,12.450801547869405,0.8937728937728938
37,0.0,0.0,13,186934,40,Married-civ-spouse,United-States,Prof-specialty,White,Other-relative,True,Private,1,0.0,0.0,12.138516241829183,0.8937728937728938
32,0.0,0.0,9,208291,50,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,0,0.0,0.0,12.246696220366545,0.8937728937728938
43,0.0,0.0,2,185670,21,Widowed,Mexico,Prof-specialty,White,Unmarried,False,Private,0,0.0,0.0,12.131731569286728,0.02197802197802198
52,7688.0,0.0,13,617021,40,Married-civ-spouse,United-States,Tech-support,Black,Husband,True,Federal-gov,1,8.94754601503218,0.0,13.332659958653796,0.8937728937728938
49,0.0,0.0,9,174274,80,Widowed,United-States,?,White,Not-in-family,False,?,0,0.0,0.0,12.0683897903546,0.8937728937728938
52,0.0,0.0,16,289436,60,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Self-emp-not-inc,1,0.0,0.0,12.575692935732953,0.8937728937728938
39,0.0,0.0,9,33001,40,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Self-emp-not-inc,0,0.0,0.0,10.40432344467275,0.8937728937728938
38,3908.0,0.0,11,30509,50,Married-civ-spouse,United-States,Prof-specialty,White,Wife,False,Private,0,8.271036865792954,0.0,10.325809777710715,0.8937728937728938
61,0.0,0.0,10,183735,45,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,1,0.0,0.0,12.12125522369625,0.8937728937728938
43,0.0,1876.0,13,81243,40,Divorced,United-States,Tech-support,White,Not-in-family,True,Private,0,0.0,7.537430036586509,11.305212251311376,0.8937728937728938
52,0.0,0.0,1,370552,40,Married-civ-spouse,__RARE__,Machine-op-inspct,White,Husband,True,Private,0,0.0,0.0,12.822751763420136,0.0
38,0.0,0.0,9,167440,20,Married-civ-spouse,United-States,Transport-moving,White,Husband,True,Local-gov,0,0.0,0.0,12.028386329390628,0.8937728937728938
34,0.0,0.0,15,226443,55,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Private,1,0.0,0.0,12.330252952718125,0.8937728937728938
45,0.0,0.0,10,270842,40,Divorced,United-States,Other-service,White,Not-in-family,False,Private,0,0.0,0.0,12.509294596188656,0.8937728937728938
36,0.0,0.0,9,248263,40,Never-married,United-States,Prof-specialty,White,Not-in-family,False,Local-gov,0,0.0,0.0,12.422247975080637,0.8937728937728938
29,0.0,0.0,9,116207,65,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Self-emp-not-inc,1,0.0,0.0,11.663136967845949,0.8937728937728938
38,0.0,0.0,10,318610,40,Divorced,United-States,Adm-clerical,Black,Unmarried,False,Private,0,0.0,0.0,12.67172620191355,0.8937728937728938
29,0.0,0.0,13,168479,40,Never-married,United-States,?,White,Not-in-family,True,?,0,0.0,0.0,12.034572327367803,0.8937728937728938
21,0.0,0.0,9,452640,40,Never-married,United-States,Craft-repair,White,Not-in-family,True,Private,0,0.0,0.0,13.022854595794177,0.8937728937728938
34,0.0,0.0,6,362775,30,Married-civ-spouse,United-States,Other-service,Amer-Indian-Eskimo,Wife,False,Local-gov,0,0.0,0.0,12.801540842885023,0.8937728937728938
52,0.0,0.0,9,30908,60,Married-civ-spouse,United-States,Farming-fishing,White,Husband,True,Private,0,0.0,0.0,10.338802682613178,0.8937728937728938
63,0.0,0.0,4,28856,55,Married-civ-spouse,United-States,Other-service,White,Husband,True,Local-gov,0,0.0,0.0,10.270107876820726,0.8937728937728938
48,14084.0,0.0,9,148995,45,Widowed,United-States,Exec-managerial,White,Not-in-family,True,Private,1,9.552865680310473,0.0,11.911674738929662,0.8937728937728938
35,0.0,0.0,9,117567,40,Divorced,United-States,Craft-repair,White,Not-in-family,True,Private,0,0.0,0.0,11.674772168574798,0.8937728937728938
47,0.0,0.0,13,262244,60,Never-married,United-States,Sales,Black,Not-in-family,True,Private,1,0.0,0.0,12.477034460299858,0.8937728937728938
53,25236.0,0.0,15,174102,60,Divorced,United-States,Prof-specialty,White,Unmarried,True,Self-emp-not-inc,1,10.136066450636823,0.0,12.067402357083983,0.8937728937728938
59,0.0,0.0,14,186308,50,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,State-gov,0,0.0,0.0,12.135161864601573,0.8937728937728938
38,0.0,0.0,9,102178,50,Married-civ-spouse,United-States,Transport-moving,White,Husband,True,Private,0,0.0,0.0,11.534481456185892,0.8937728937728938
38,0.0,0.0,10,198841,40,Separated,United-States,Handlers-cleaners,White,Not-in-family,True,Federal-gov,0,0.0,0.0,12.200265818496387,0.8937728937728938
40,3137.0,0.0,9,153489,40,Married-civ-spouse,United-States,Other-service,White,Other-relative,True,Local-gov,0,8.051340933292979,0.0,11.941390697307455,0.8937728937728938
33,0.0,0.0,10,287372,50,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Self-emp-inc,1,0.0,0.0,12.568536302493635,0.8937728937728938
51,0.0,0.0,16,172962,40,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,State-gov,1,0.0,0.0,12.06083297777349,0.8937728937728938
29,0.0,0.0,10,224858,45,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Private,0,0.0,0.0,12.323228818082264,0.8937728937728938
18,0.0,0.0,9,252046,30,Never-married,United-States,?,White,Own-child,False,?,0,0.0,0.0,12.437370857039625,0.8937728937728938
52,0.0,0.0,11,185407,48,Married-civ-spouse,__RARE__,Craft-repair,White,Husband,True,Private,1,0.0,0.0,12.130314081129022,0.0
32,0.0,0.0,10,94939,48,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,True,Private,0,0.0,0.0,11.461000392105309,0.8937728937728938
29,0.0,0.0,9,106153,50,Never-married,United-States,Craft-repair,White,Not-in-family,True,Private,0,0.0,0.0,11.572646148946163,0.8937728937728938
62,0.0,0.0,9,114060,40,Married-civ-spouse,United-States,Transport-moving,White,Husband,True,Local-gov,0,0.0,0.0,11.644488671987546,0.8937728937728938
48,0.0,0.0,12,332884,40,Divorced,United-States,Craft-repair,White,Not-in-family,True,Private,0,0.0,0.0,12.715552363971799,0.8937728937728938
28,0.0,0.0,13,52603,50,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,1,0.0,0.0,10.870547441461856,0.8937728937728938
45,0.0,0.0,10,197332,55,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Self-emp-inc,1,0.0,0.0,12.192647936007416,0.8937728937728938
21,0.0,0.0,12,494638,15,Never-married,United-States,?,White,Own-child,True,?,0,0.0,0.0,13.11158348255808,0.8937728937728938
51,0.0,0.0,9,280093,40,Separated,United-States,Adm-clerical,White,Other-relative,False,Private,0,0.0,0.0,12.54288054009767,0.8937728937728938
40,0.0,0.0,13,110862,50,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,1,0.0,0.0,11.616050483765866,0.8937728937728938
17,0.0,0.0,6,173740,15,Never-married,United-States,Sales,White,Not-in-family,False,Private,0,0.0,0.0,12.065320963524295,0.8937728937728938
28,0.0,0.0,9,207513,48,Never-married,United-States,Sales,White,Own-child,True,Private,0,0.0,0.0,12.242954086256418,0.8937728937728938
46,0.0,0.0,12,83082,33,Never-married,United-States,Prof-specialty,White,Not-in-family,False,Private,0,0.0,0.0,11.327595387111819,0.8937728937728938
42,0.0,1887.0,10,230438,40,Married-civ-spouse,United-States,Adm-clerical,White,Husband,True,Federal-gov,1,0.0,7.543273346705446,12.347741464312515,0.8937728937728938
24,0.0,0.0,13,51973,45,Never-married,United-States,Adm-clerical,White,Not-in-family,False,Private,0,0.0,0.0,10.858498872521881,0.8937728937728938
25,0.0,0.0,9,221757,40,Married-civ-spouse,United-States,Machine-op-inspct,White,Husband,True,Private,0,0.0,0.0,12.309341976183987,0.8937728937728938
39,0.0,0.0,11,97771,45,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Private,0,0.0,0.0,11.490393516463142,0.8937728937728938
60,0.0,1408.0,10,166789,50,Divorced,United-States,Tech-support,White,Not-in-family,True,Private,0,0.0,7.25063551189868,12.02449081507122,0.8937728937728938
